user,item,ranks,norm_ranks,test_year
5,53,74.0,74.0,2008
5,154,5.0,5.0,2008
5,182,52.0,51.0,2008
5,190,3.0,3.0,2008
5,195,76.0,72.0,2008
5,202,1682.0,1677.0,2008
5,215,376.0,371.0,2008
5,222,125.0,120.0,2008
5,232,,,2008
5,233,10.0,8.0,2008
5,236,1471.0,1463.0,2008
7,55,34.0,34.0,2008
9,392,,,2008
9,402,,,2008
9,401,,,2008
9,398,,,2008
9,397,,,2008
9,395,702.0,702.0,2008
9,394,637.0,637.0,2008
9,405,1408.0,1406.0,2008
9,414,,,2008
9,387,,,2008
9,379,1.0,1.0,2008
9,376,,,2008
9,374,107.0,106.0,2008
9,372,,,2008
9,371,,,2008
9,391,,,2008
9,8,18.0,17.0,2008
10,208,85.0,85.0,2008
10,416,53.0,53.0,2008
10,430,395.0,393.0,2008
10,440,278.0,276.0,2008
10,199,11.0,11.0,2008
10,418,52.0,51.0,2008
10,196,469.0,463.0,2008
11,455,234.0,234.0,2008
14,549,,,2008
14,550,,,2008
14,552,,,2008
14,557,,,2008
14,559,1121.0,1121.0,2008
14,563,,,2008
14,573,,,2008
14,594,,,2008
16,634,,,2008
16,638,,,2008
16,662,,,2008
16,675,,,2008
16,672,,,2008
18,389,171.0,171.0,2008
18,722,416.0,415.0,2008
24,786,160.0,160.0,2008
25,289,6.0,6.0,2008
25,349,26.0,25.0,2008
25,354,,,2008
25,455,44.0,42.0,2008
25,476,,,2008
25,531,,,2008
25,800,121.0,118.0,2008
25,906,22.0,21.0,2008
25,911,193.0,188.0,2008
26,927,,,2008
26,938,,,2008
26,917,18.0,18.0,2008
26,919,891.0,890.0,2008
26,926,,,2008
26,930,21.0,20.0,2008
26,931,889.0,887.0,2008
26,943,888.0,886.0,2008
26,923,594.0,592.0,2008
26,929,,,2008
26,935,,,2008
26,925,,,2008
26,511,32.0,30.0,2008
28,1024,,,2008
28,1002,,,2008
28,1007,,,2008
33,188,315.0,315.0,2008
33,1141,,,2008
37,233,10.0,10.0,2008
37,374,346.0,345.0,2008
37,1210,,,2008
37,1229,1924.0,1922.0,2008
37,1237,1899.0,1897.0,2008
39,1265,,,2008
39,1280,,,2008
39,1270,,,2008
40,1320,,,2008
40,1335,,,2008
40,1300,138.0,138.0,2008
40,1298,,,2008
40,1312,1281.0,1280.0,2008
40,1296,,,2008
40,1297,,,2008
40,1293,1887.0,1885.0,2008
40,1066,609.0,608.0,2008
40,1332,1275.0,1273.0,2008
40,34,,,2008
40,1325,,,2008
40,1322,,,2008
40,1313,,,2008
40,1326,,,2008
40,1331,864.0,862.0,2008
40,1299,873.0,870.0,2008
40,1304,,,2008
40,1324,,,2008
40,1328,,,2008
40,1306,,,2008
40,1334,,,2008
40,38,,,2008
40,1323,,,2008
40,1302,,,2008
40,1301,,,2008
40,1295,174.0,173.0,2008
40,1327,865.0,861.0,2008
40,1294,,,2008
40,1020,,,2008
40,32,389.0,387.0,2008
40,1318,,,2008
40,1319,,,2008
40,1303,671.0,667.0,2008
40,1333,,,2008
40,1315,,,2008
42,472,245.0,245.0,2008
55,1618,,,2008
55,1634,,,2008
55,1631,,,2008
55,1617,,,2008
55,1612,,,2008
55,1615,,,2008
59,1700,,,2008
59,726,,,2008
59,1098,1774.0,1774.0,2008
59,67,1492.0,1492.0,2008
59,1359,,,2008
59,72,814.0,814.0,2008
59,707,230.0,230.0,2008
59,1711,,,2008
59,233,1142.0,1140.0,2008
59,1713,364.0,363.0,2008
59,7,376.0,374.0,2008
