user,item,rank,test_year
5,53,1303.0,2008
5,154,633.0,2008
5,182,129.0,2008
5,190,307.0,2008
5,195,1937.0,2008
5,202,1109.0,2008
5,215,1734.0,2008
5,222,574.0,2008
5,232,,2008
5,233,97.0,2008
5,236,813.0,2008
7,55,1192.0,2008
9,392,,2008
9,402,,2008
9,401,,2008
9,398,,2008
9,397,,2008
9,395,1710.0,2008
9,394,1706.0,2008
9,405,215.0,2008
9,414,,2008
9,387,,2008
9,379,1521.0,2008
9,376,,2008
9,374,484.0,2008
9,372,,2008
9,371,,2008
9,391,,2008
9,8,54.0,2008
10,208,849.0,2008
10,416,1945.0,2008
10,430,110.0,2008
10,440,1878.0,2008
10,199,1072.0,2008
10,418,2.0,2008
10,196,1089.0,2008
11,455,506.0,2008
14,549,,2008
14,550,,2008
14,552,,2008
14,557,,2008
14,559,1246.0,2008
14,563,,2008
14,573,,2008
14,594,,2008
16,634,,2008
16,638,,2008
16,662,,2008
16,675,,2008
16,672,,2008
18,389,1917.0,2008
18,722,559.0,2008
24,786,73.0,2008
25,289,1763.0,2008
25,349,1944.0,2008
25,354,,2008
25,455,1241.0,2008
25,476,,2008
25,531,,2008
25,800,31.0,2008
25,906,265.0,2008
25,911,1374.0,2008
26,927,,2008
26,938,,2008
26,917,60.0,2008
26,919,1142.0,2008
26,926,,2008
26,930,124.0,2008
26,931,1150.0,2008
26,943,1146.0,2008
26,923,1095.0,2008
26,929,,2008
26,935,,2008
26,925,,2008
26,511,1748.0,2008
28,1024,,2008
28,1002,,2008
28,1007,,2008
33,188,267.0,2008
33,1141,,2008
37,233,97.0,2008
37,374,501.0,2008
37,1210,,2008
37,1229,1415.0,2008
37,1237,493.0,2008
39,1265,,2008
39,1280,,2008
39,1270,,2008
40,1320,,2008
40,1335,,2008
40,1300,694.0,2008
40,1298,,2008
40,1312,1191.0,2008
40,1296,,2008
40,1297,,2008
40,1293,1260.0,2008
40,1066,1516.0,2008
40,1332,1923.0,2008
40,34,,2008
40,1325,,2008
40,1322,,2008
40,1313,,2008
40,1326,,2008
40,1331,1280.0,2008
40,1299,371.0,2008
40,1304,,2008
40,1324,,2008
40,1328,,2008
40,1306,,2008
40,1334,,2008
40,38,,2008
40,1323,,2008
40,1302,,2008
40,1301,,2008
40,1295,1944.0,2008
40,1327,1199.0,2008
40,1294,,2008
40,1020,,2008
40,32,1404.0,2008
40,1318,,2008
40,1319,,2008
40,1303,1794.0,2008
40,1333,,2008
40,1315,,2008
42,472,933.0,2008
55,1618,,2008
55,1634,,2008
55,1631,,2008
55,1617,,2008
55,1612,,2008
55,1615,,2008
59,1700,,2008
59,726,,2008
59,1098,161.0,2008
59,67,140.0,2008
59,1359,,2008
59,72,1963.0,2008
59,707,1461.0,2008
59,1711,,2008
59,233,134.0,2008
59,1713,1660.0,2008
59,7,1425.0,2008
59,238,1177.0,2008
59,517,766.0,2008
59,1118,1848.0,2008
59,1534,179.0,2008
59,1703,,2008
60,416,1076.0,2008
64,1829,,2008
64,1830,,2008
64,1831,,2008
64,1156,780.0,2008
64,1823,,2008
66,51,944.0,2008
66,1889,562.0,2008
66,1888,,2008
66,1887,,2008
66,1886,1947.0,2008
66,1885,1834.0,2008
66,1884,,2008
66,1883,1853.0,2008
66,1881,828.0,2008
66,1878,447.0,2008
66,1122,77.0,2008
66,1073,4.0,2008
66,1014,133.0,2008
66,1879,813.0,2008
66,1001,1012.0,2008
66,59,170.0,2008
66,61,308.0,2008
66,1013,142.0,2008
66,85,671.0,2008
66,99,1061.0,2008
66,72,1921.0,2008
66,880,,2008
66,993,58.0,2008
66,997,241.0,2008
66,874,687.0,2008
66,1882,1839.0,2008
66,1898,,2008
66,1890,1598.0,2008
66,1880,,2008
66,68,136.0,2008
66,1892,242.0,2008
66,1893,,2008
66,1902,,2008
66,1891,1733.0,2008
66,1896,,2008
66,98,1.0,2008
66,1894,,2008
68,1938,,2008
70,497,420.0,2008
70,517,669.0,2008
70,1873,364.0,2008
70,1974,462.0,2008
70,1975,,2008
70,1981,,2008
70,1984,,2008
71,1348,,2008
73,1001,885.0,2008
73,724,1378.0,2008
73,877,243.0,2008
73,2038,,2008
73,997,385.0,2008
73,2029,1462.0,2008
73,533,1088.0,2008
73,1073,1273.0,2008
73,1089,1929.0,2008
73,1502,340.0,2008
73,620,1001.0,2008
73,1890,1659.0,2008
73,2027,1075.0,2008
73,68,750.0,2008
73,2034,400.0,2008
73,441,1490.0,2008
73,995,706.0,2008
73,2033,,2008
73,229,968.0,2008
73,51,1649.0,2008
73,30,1690.0,2008
73,986,1747.0,2008
73,851,1708.0,2008
73,91,1394.0,2008
73,2031,,2008
73,19,1028.0,2008
73,2037,,2008
73,998,1785.0,2008
73,2026,,2008
73,2030,1575.0,2008
73,2043,,2008
76,2087,,2008
76,2093,,2008
76,397,,2008
76,2086,,2008
76,2104,,2008
76,2111,,2008
78,603,1433.0,2008
78,744,10.0,2008
78,1222,282.0,2008
78,1745,,2008
78,2145,,2008
78,2146,,2008
78,2149,,2008
78,2153,,2008
78,2158,,2008
78,2161,,2008
78,2174,,2008
81,2217,,2008
81,2228,,2008
81,2219,,2008
81,2239,,2008
81,2259,,2008
83,2298,,2008
83,2301,157.0,2008
83,2317,,2008
83,2318,,2008
83,2319,,2008
83,2322,,2008
90,2467,,2008
90,172,1783.0,2008
90,2440,,2008
90,2447,,2008
90,2454,,2008
90,734,,2008
90,2451,,2008
90,2468,,2008
90,2459,,2008
91,631,,2008
91,859,1422.0,2008
91,2026,,2008
91,2470,1558.0,2008
91,2472,,2008
91,2481,,2008
91,2493,1260.0,2008
92,89,,2008
96,966,153.0,2008
96,68,752.0,2008
96,85,380.0,2008
96,99,448.0,2008
96,220,183.0,2008
96,952,163.0,2008
96,2551,,2008
